id,description,buy_price,tax,quantity
1,hard catch,7.89,0.1,39
2,either indicate,7.44,0.11,48
3,employee late,3.08,0.13,9
4,game mean,2.84,0.1,9
5,need find,8.7,0.13,48
6,agree break,5.46,0.1,14
7,reality best,2.48,0.06,16
8,in however,6.91,0.13,26
9,reach cell,1.13,0.12,22
10,be mind,5.57,0.1,46
11,should theory,8.15,0.13,24
12,choose television,7.4,0.07,39
13,best give,8.64,0.14,48
14,keep for,6.18,0.14,41
15,even article,1.35,0.1,29
16,turn marriage,8.92,0.09,28
17,industry choose,1.72,0.07,21
18,everybody firm,9.63,0.08,27
19,open social,9.88,0.12,29
20,common camera,6.44,0.06,29
21,find popular,7.88,0.06,36
22,last fact,9.37,0.1,34
23,investment help,2.04,0.05,9
24,note month,7.96,0.11,43
25,pattern Congress,1.0,0.14,44
26,laugh base,6.03,0.11,46
27,list notice,9.29,0.13,33
28,who early,2.24,0.14,18
29,security say,5.61,0.1,45
30,although shoulder,5.36,0.12,29
31,tax affect,5.97,0.12,22
32,church to,6.28,0.13,8
33,local allow,8.46,0.12,7
34,college person,8.13,0.09,42
35,of her,1.19,0.05,10
36,try simply,4.18,0.14,5
37,board writer,8.15,0.13,6
38,relationship edge,7.64,0.05,8
39,laugh meeting,9.92,0.15,29
40,yet anyone,8.69,0.15,14
41,serious cup,9.96,0.12,27
42,lose help,2.87,0.12,36
43,exist space,4.72,0.05,40
44,though shoulder,6.18,0.14,13
45,voice process,1.7,0.13,49
46,couple drug,4.82,0.09,28
47,win black,7.29,0.06,30
48,road because,4.25,0.05,23
49,price reflect,6.75,0.05,25
50,even wide,8.82,0.09,5
51,general must,9.74,0.05,35
52,including worker,2.42,0.14,45
53,every under,1.25,0.14,35
54,argue compare,8.2,0.09,45
55,easy between,6.02,0.13,9
56,history all,9.52,0.11,30
57,response yard,9.93,0.13,33
58,many couple,1.39,0.1,37
59,young become,8.86,0.14,21
60,relationship official,6.88,0.06,44
61,box seven,5.31,0.08,41
62,common way,6.18,0.11,32
63,audience executive,4.27,0.06,7
64,get very,1.92,0.08,22
65,participant national,8.93,0.15,19
66,concern against,4.42,0.12,14
67,court bed,1.73,0.09,27
68,staff already,8.07,0.08,50
69,want cultural,5.7,0.13,13
70,I kid,2.9,0.08,32
71,feeling figure,3.49,0.06,9
72,necessary outside,8.24,0.12,38
73,message everything,6.87,0.06,46
74,president often,7.76,0.1,35
75,authority call,6.56,0.15,9
76,travel save,6.29,0.12,40
77,reveal rock,3.91,0.12,32
78,many range,6.94,0.07,40
79,teacher necessary,2.1,0.05,48
80,drop nice,2.56,0.08,15
81,idea reason,2.14,0.12,16
82,song woman,7.91,0.11,30
83,both attention,1.29,0.06,40
84,between out,2.83,0.15,9
85,rule world,4.87,0.12,31
86,true and,1.02,0.06,29
87,crime set,8.08,0.1,29
88,piece across,5.4,0.07,13
89,church street,8.21,0.12,8
90,more still,6.82,0.1,34
91,oil future,3.3,0.12,45
92,race meet,9.95,0.15,7
93,start add,3.77,0.1,48
94,decision sense,8.18,0.14,31
95,long clear,9.33,0.07,18
96,way chance,4.46,0.07,42
97,heavy agreement,5.53,0.09,40
98,prevent clear,2.11,0.06,21
99,every PM,3.68,0.07,19
100,other teach,9.93,0.13,48
101,certainly rock,1.45,0.06,38
102,she bit,8.17,0.08,19
103,television particular,1.38,0.1,28
104,rather professor,6.67,0.13,36
105,support themselves,1.56,0.09,29
106,world both,1.47,0.14,18
107,unit cultural,9.44,0.13,10
108,the nice,2.52,0.13,14
109,skill science,6.02,0.07,5
110,hour church,2.07,0.1,42
111,poor one,1.52,0.06,30
112,good new,8.71,0.14,9
113,away city,6.51,0.14,35
114,group detail,8.83,0.08,32
115,three reason,3.58,0.05,17
116,you recent,2.73,0.11,49
117,pressure speak,8.54,0.06,12
118,benefit allow,6.74,0.13,44
119,mean end,2.59,0.1,27
120,popular look,7.86,0.13,46
121,every condition,3.5,0.09,21
122,through company,6.74,0.13,5
123,yard direction,3.21,0.07,22
124,us discover,5.98,0.07,33
125,there street,1.49,0.12,8
126,yeah traditional,4.72,0.1,33
127,trip size,8.54,0.11,43
128,set everyone,1.76,0.09,27
129,customer friend,1.74,0.14,10
130,yes matter,4.73,0.13,41
131,need mouth,8.31,0.13,50
132,future leg,5.31,0.12,11
133,then economic,9.88,0.07,43
134,child single,4.1,0.1,48
135,itself difference,8.89,0.07,33
136,type their,7.03,0.13,26
137,box group,5.48,0.06,11
138,help modern,1.8,0.1,43
139,eight memory,7.67,0.08,50
140,phone type,3.2,0.14,29
141,wait wind,6.4,0.13,13
142,travel sometimes,1.05,0.14,20
143,green west,4.24,0.14,10
144,when power,3.44,0.13,15
145,eye five,1.69,0.08,31
146,south set,4.65,0.06,22
147,lead health,3.31,0.12,25
148,glass report,8.74,0.14,20
149,pattern management,6.19,0.07,12
150,green amount,2.51,0.08,46
151,evening program,8.39,0.07,29
152,education production,2.68,0.11,16
153,image yet,1.46,0.09,22
154,space expert,3.82,0.15,19
155,beat ago,4.33,0.1,34
156,fund analysis,7.4,0.09,28
157,hospital mention,1.86,0.12,13
158,consumer animal,2.48,0.08,19
159,simply participant,2.26,0.12,44
160,hair public,6.7,0.08,40
161,range off,9.11,0.08,17
162,economy goal,8.89,0.1,28
163,study section,2.5,0.08,20
164,understand new,1.88,0.06,30
165,country anyone,4.08,0.11,17
166,garden cut,8.73,0.09,20
167,then vote,7.01,0.14,38
168,most throw,4.58,0.08,6
169,foreign Mr,9.64,0.09,14
170,natural music,5.7,0.07,35
171,home everyone,7.28,0.08,7
172,car treatment,1.75,0.11,25
173,business suddenly,2.55,0.09,25
174,along if,5.54,0.11,25
175,smile project,9.83,0.12,18
176,who strong,4.78,0.14,19
177,TV run,5.74,0.15,13
178,paper friend,6.83,0.09,7
179,find area,6.59,0.11,17
180,many wish,9.76,0.06,40
181,involve soon,8.0,0.06,28
182,plan relationship,1.05,0.12,15
183,add international,5.92,0.09,26
184,city to,5.03,0.15,25
185,interview such,5.4,0.11,25
186,treat yes,1.06,0.1,27
187,lead bar,3.98,0.07,41
188,save north,9.91,0.07,29
189,chance power,8.17,0.09,17
190,role yourself,7.7,0.09,36
191,western thought,3.74,0.15,35
192,process amount,5.33,0.08,26
193,example career,7.05,0.13,11
194,face economy,1.67,0.07,33
195,group into,8.97,0.08,32
196,political final,8.4,0.12,31
197,example same,3.15,0.14,28
198,drive early,7.35,0.1,37
199,parent among,4.35,0.13,43
200,system near,7.79,0.08,49
