id,name,description,sell_price,items
1,oil speak,Hope reveal able several own attorney paper it probably tell across.,19.93,"{26: 1, 11: 4, 48: 1, 100: 2}"
2,page news,You bag green here science because option do audience environmental nothing relationship specific.,10.69,"{192: 3, 94: 2, 1: 2, 18: 2}"
3,color human,Make official wear eye within everyone charge sort behavior century image her.,29.85,"{111: 4, 139: 4}"
4,still clear,Blue soon Democrat lose region mean.,17.61,"{142: 2, 82: 3, 3: 3, 60: 1}"
5,raise ever,Article contain pass concern place such TV threat authority.,26.42,"{148: 4, 110: 1}"
6,office ground,Get ask interesting training ask usually minute born guess job.,33.88,"{195: 3, 12: 3}"
7,figure arrive,My image small improve rate build war.,32.92,"{130: 3, 82: 3, 58: 1, 187: 1, 192: 1}"
8,money so,Cover too thousand why population decade store cup trouble marriage affect wide create.,27.53,"{82: 2, 161: 2, 44: 3, 96: 4, 152: 4}"
9,though beautiful,Light phone drug future paper trouble begin.,28.12,"{160: 1, 77: 1, 109: 2}"
10,item question,Enter law ahead star already her respond provide at school floor player.,8.6,"{57: 4, 122: 1, 139: 2, 17: 2, 64: 1}"
11,loss night,What on picture tree democratic door need bit.,13.18,"{84: 3, 82: 3}"
12,American amount,Upon ask it bank table century set administration important deep get water teacher.,9.22,"{86: 1, 78: 4, 32: 2, 164: 2, 149: 3}"
13,receive though,Million officer practice model environment situation property first serve clearly issue term act.,8.16,"{98: 3, 91: 3}"
14,vote man,Important send one Democrat area professor another reflect foot several crime call cell.,23.98,"{65: 1, 29: 2, 8: 2}"
15,detail whatever,Image there provide agency economic increase.,26.57,"{101: 1, 114: 2, 42: 3, 27: 4}"
16,however recent,Teacher officer tough theory individual since blood again.,9.95,"{161: 1, 11: 4}"
17,arrive program,Participant again pick coach wall hit along simple reduce.,23.21,"{35: 2, 80: 4, 197: 4, 175: 2}"
18,investment up,Such executive worker hour investment voice agent Republican large board culture green.,27.49,"{50: 1, 113: 2}"
19,language instead,Vote near weight through whether conference song.,20.85,"{14: 3, 188: 2, 122: 3}"
20,draw too,Nothing other Mrs could almost goal season.,14.61,"{29: 2, 75: 1, 185: 2}"
21,professional hit,Avoid personal little seat him truth professor perhaps ok general.,12.72,"{85: 3, 181: 4, 102: 2, 97: 3}"
22,forget pattern,Everything source PM information truth view people consider.,31.45,"{16: 3, 89: 4}"
23,our dream,Happy sort word perhaps must war always.,15.65,"{152: 1, 53: 3, 74: 2}"
24,statement world,Ask market would represent bit necessary service hot attorney.,18.98,"{57: 3, 160: 1, 12: 4}"
